docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S037842901300244X-1654	1	Quantity	182	229	1	flowering time (FLO) in days after sowing (das)	{ "unit": "das"}
S037842901300244X-1654	1	MeasuredEntity	182	196	2	flowering time	{"HasQuantity":"1"}
S037842901300244X-1654	2	Quantity	307	336	3	number of productive panicles	{ "unit": "panicles"}
S037842901300244X-1654	2	MeasuredEntity	307	336	4	number of productive panicles	{"HasQuantity":"3"}
S037842901300244X-1654	3	Quantity	411	453	5	number of hills per plot with downy mildew	{ "unit": "hills"}
S037842901300244X-1654	3	MeasuredEntity	411	426	6	number of hills	{"HasQuantity":"5"}
S037842901300244X-1654	4	Quantity	544	587	7	downy mildew (DM) incidence (in percentage)	{ "unit": "%"}
S037842901300244X-1654	4	MeasuredEntity	126	153	8	downy mildew (DM) incidence	{"HasQuantity":"7"}
S037842901300244X-1654	5	Quantity	705	736	9	number of emerged Striga plants	{ "unit": "plants"}
S037842901300244X-1654	5	MeasuredEntity	705	736	10	number of emerged Striga plants	{"HasQuantity":"9"}
